Contribution	ID	Tag_UCE_DB	Sample_id	Order	Family	Genus	Genus_Species	Number of extracted UCEs
#1	1	ROA_1_UCEDB	129	Blattodea	Nocticolidae	Nocticola	Nocticolidae_sp_Christmas_Island_129	6855
#1	2	ROA_2_UCEDB	146	Blattodea	Nocticolidae	Nocticola	Nocticolidae_sp_Kimberley_146	17018
#1	3	ROA_3_UCEDB	3	Blattodea	Nocticolidae	Nocticola	Nocticolidae_sp_Mt_Haig	16759
#1	4	ROA_4_UCEDB	126	Blattodea	Nocticolidae	Nocticola	Nocticola_pheromosa	12322
#1	5	ROA_5_UCEDB	139.1	Blattodea	Nocticolidae	Nocticola	Nocticola_flabella	10639
#1	6	ROA_6_UCEDB	102	Blattodea	Nocticolidae	Nocticola	Nocticola_quartermainei_102	11371
#1	7	ROA_7_UCEDB	M13	Blattodea	Nocticolidae	Nocticola	Nocticolidae_sp_Black_Mountain	13430
#1	8	ROA_8_UCEDB	JW1	Blattodea	Nocticolidae	Nocticola	Nocticolidae_sp_Mt_Molloy	13865
#1	9	ROA_9_UCEDB	110.1	Blattodea	Nocticolidae	Nocticola	Nocticolidae_sp_Pilbara_110_1	9674
#1	10	ROA_10_UCEDB	131	Blattodea	Nocticolidae	Nocticola	Nocticolidae_sp_Christmas_Island_131	11347
#1	11	ROA_11_UCEDB	114.1	Blattodea	Nocticolidae	Nocticola	Nocticola_quartermainei_114_1	13545
#1	12	ROA_12_UCEDB	175.1	Blattodea	Nocticolidae	Nocticola	Nocticolidae_sp_Kimberley_175_1	18063
#1	13	ROA_13_UCEDB	104	Blattodea	Nocticolidae	Nocticola	Nocticola_currani	15801
#1	14	ROA_14_UCEDB	136	Blattodea	Nocticolidae	Nocticola	Nocticolidae_sp_Barrow_Island	13275
#1	15	ROA_15_UCEDB	37	Blattodea	Nocticolidae	Nocticola	Nocticolidae_sp_Carpentaria_Cave	15907
#1	16	ROA_16_UCEDB	107.1	Blattodea	Nocticolidae	Nocticola	Nocticolidae_sp_Kimberley_107_1	12053
#1	17	ROA_17_UCEDB	164	Blattodea	Nocticolidae	Nocticola	Nocticola_baumi_1	5175
#1	18	ROA_18_UCEDB	124	Blattodea	Nocticolidae	Nocticola	Nocticola_cockingi	11950
#1	19	ROA_19_UCEDB	77	Blattodea	Nocticolidae	Nocticola	Nocticolidae_sp_Glennie_Tablelands	14068
#1	20	ROA_20_UCEDB	27	Blattodea	Nocticolidae	Nocticola	Nocticola_australiensis_Donna_Cave	14444
#1	21	ROA_21_UCEDB	43	Blattodea	Nocticolidae	Nocticola	Nocticola_australiensis_Royal_Arch_Cave	14233
#1	22	ROA_22_UCEDB	NA	Phasmatodea	Diapheromeridae	Scionecra	Scionecra_sp_R32	3038
#1	23	ROA_23_UCEDB	NA	Blattodea	Blaberidae	Geoscapheus	Geoscapheus_dilatatus	24837
#1	24	ROA_24_UCEDB	NA	Blattodea	Blaberidae	Neogeoscapheus	Neogeoscapheus_hanni	24624
#1	25	ROA_25_UCEDB	NA	Blattodea	Blaberidae	Panesthia	Panesthia_cribrara	24091
#1	26	ROA_26_UCEDB	NCBI:GCA_002939525.1	Blattodea	Blattidae	Periplaneta	Periplaneta_americana	22214
#1	27	ROA_27_UCEDB	NCBI:GCA_003018175.1	Blattodea	Blattellidae	Blatella	Blatella_germanica	24873
#1	28	ROA_28_UCEDB	NCBI:GCF_000696155.1	Blattodea	Termitoidae	Zootermopsis	Zootermopsis_nevadensis	23057
#1	29	ROA_29_UCEDB	GigaDB:100057	Blattodea	Termitoidae	Macrotermes	Macrotermes_natalensis	23045
